ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
201502_s_at	1.10e-11	1.32e-14	9.39	22.848544	1.73893269	NFKBIA	NFKB inhibitor alpha
218097_s_at	1.18e-11	1.48e-14	9.36	22.738083	0.5839728	CUEDC2	CUE domain containing 2
206059_at	1.32e-11	1.75e-14	-9.32	22.573159	-0.8397499	ZNF91	zinc finger protein 91
218178_s_at	1.32e-11	1.78e-14	9.32	22.556199	0.68637961	CHMP1B	charged multivesicular body protein 1B
207157_s_at	1.37e-11	1.92e-14	9.30	22.484625	0.7428924	GNG5	G protein subunit gamma 5
243829_at	1.40e-11	2.09e-14	-9.29	22.399767	-0.83356028	BRAF	B-Raf proto-oncogene, serine/threonine kinase
220760_x_at	1.40e-11	2.10e-14	-9.28	22.396266	-0.72557741	ZNF665	zinc finger protein 665
217100_s_at	1.60e-11	2.48e-14	-9.25	22.23464	-0.7261881	UBXN7	UBX domain protein 7
200660_at	1.83e-11	2.94e-14	9.21	22.072261	0.75787176	S100A11	S100 calcium binding protein A11
216525_x_at	2.30e-11	3.81e-14	-9.15	21.818884	-0.59779944	PMS2P3	PMS1 homolog 2, mismatch repair system component pseudogene 3
224707_at	2.87e-11	4.89e-14	9.10	21.576963	1.51234999	CYSTM1	cysteine rich transmembrane module containing 1
201264_at	2.94e-11	5.16e-14	9.09	21.525866	0.55806768	COPE	coatomer protein complex subunit epsilon
217977_at	3.14e-11	5.67e-14	9.07	21.434042	1.36193062	MSRB1	methionine sulfoxide reductase B1
204791_at	3.63e-11	6.74e-14	-9.03	21.265892	-0.68501158	NR2C1	nuclear receptor subfamily 2 group C member 1
206026_s_at	4.18e-11	7.96e-14	8.99	21.104517	2.32694546	TNFAIP6	TNF alpha induced protein 6
202110_at	4.56e-11	8.92e-14	8.97	20.994418	0.61933626	COX7B	cytochrome c oxidase subunit 7B
201531_at	4.64e-11	9.30e-14	8.96	20.954295	1.3733471	ZFP36	ZFP36 ring finger protein
208678_at	4.74e-11	9.75e-14	8.95	20.907956	0.56310412	ATP6V1E1	ATPase H+ transporting V1 subunit E1
227404_s_at	5.73e-11	1.23e-13	8.90	20.680767	3.22296721	EGR1	early growth response 1
202391_at	5.73e-11	1.26e-13	8.89	20.6599	1.27608136	BASP1	brain abundant membrane attached signal protein 1
203371_s_at	5.73e-11	1.26e-13	8.89	20.657271	0.64803453	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3
217769_s_at	8.92e-11	2.01e-13	8.79	20.205699	0.58574568	POMP	proteasome maturation protein
225786_at	1.03e-10	2.38e-13	-8.75	20.043387	-1.24270961		
224783_at	1.03e-10	2.44e-13	8.75	20.01997	0.85697002	UBALD2	UBA like domain containing 2
204470_at	1.08e-10	2.59e-13	8.73	19.961691	2.71119471	CXCL1	C-X-C motif chemokine ligand 1
202127_at	1.28e-10	3.16e-13	-8.69	19.768444	-0.89331418	PRPF4B	pre-mRNA processing factor 4B
211069_s_at	1.28e-10	3.22e-13	8.69	19.750251	0.3417757	SUMO1	small ubiquitin-like modifier 1
219700_at	1.37e-10	3.49e-13	-8.67	19.671366	-1.36770035	PLXDC1	plexin domain containing 1
235698_at	1.40e-10	3.65e-13	-8.66	19.629162	-0.78976352	ZFP90	ZFP90 zinc finger protein
202858_at	1.43e-10	3.87e-13	8.65	19.57187	0.74872117	U2AF1	U2 small nuclear RNA auxiliary factor 1
200822_x_at	1.43e-10	3.88e-13	8.65	19.568309	0.64821008	TPI1	triosephosphate isomerase 1
222700_at	1.52e-10	4.20e-13	-8.63	19.49268	-0.70574071	ATL2	atlastin GTPase 2
217995_at	1.58e-10	4.43e-13	8.62	19.440364	0.90746122	SQRDL	sulfide quinone reductase-like (yeast)
225845_at	1.83e-10	5.22e-13	-8.58	19.2818	-0.75097805	ZBTB44	zinc finger and BTB domain containing 44
212203_x_at	2.36e-10	6.87e-13	8.52	19.014349	1.15907589	IFITM3	interferon induced transmembrane protein 3
210114_at	2.57e-10	7.59e-13	-8.50	18.918445	-0.62701284	INVS	inversin
223064_at	2.73e-10	8.21e-13	8.48	18.841833	0.52883713	RNF181	ring finger protein 181
200055_at	2.94e-10	9.00e-13	8.46	18.75263	0.53330327	TAF10	TATA-box binding protein associated factor 10
224447_s_at	2.96e-10	9.36e-13	8.45	18.715363	0.62363908	MIEN1	migration and invasion enhancer 1
221345_at	2.96e-10	9.36e-13	8.45	18.714676	2.45657701	FFAR2	free fatty acid receptor 2
224972_at	3.04e-10	9.76e-13	8.44	18.674085	0.88325289	ROMO1	reactive oxygen species modulator 1
209383_at	3.35e-10	1.09e-12	8.42	18.564379	0.98653448	DDIT3	DNA damage inducible transcript 3
242969_at	3.51e-10	1.16e-12	-8.41	18.506588	-0.97701817	ZNF780B	zinc finger protein 780B
205098_at	3.54e-10	1.19e-12	8.40	18.483206	1.11646256	CCR1	C-C motif chemokine receptor 1
222992_s_at	4.25e-10	1.46e-12	8.36	18.286995	0.48979041	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9
203175_at	4.25e-10	1.47e-12	8.35	18.277468	0.54561775	RHOG	ras homolog family member G
1559097_at	4.37e-10	1.53e-12	-8.34	18.235279	-1.01867521	LINC01550	long intergenic non-protein coding RNA 1550
219834_at	4.42e-10	1.57e-12	-8.34	18.210718	-0.77971224	CARF	calcium responsive transcription factor
218660_at	4.79e-10	1.73e-12	8.32	18.118947	1.48212794	DYSF	dysferlin
223082_at	4.79e-10	1.75e-12	8.31	18.106077	0.52896914	SH3KBP1	SH3 domain containing kinase binding protein 1
201232_s_at	4.89e-10	1.83e-12	8.31	18.06448	0.74663873	PSMD13	proteasome 26S subunit, non-ATPase 13
200925_at	4.89e-10	1.84e-12	8.30	18.06036	0.71951548	COX6A1	cytochrome c oxidase subunit 6A1
224846_at	4.95e-10	1.89e-12	8.30	18.035412	0.60895787	SHKBP1	SH3KBP1 binding protein 1
220232_at	5.00e-10	1.93e-12	-8.29	18.012682	-1.72069685	SCD5	stearoyl-CoA desaturase 5
203342_at	5.48e-10	2.14e-12	8.27	17.912223	0.7224251	TIMM17B	translocase of inner mitochondrial membrane 17 homolog B (yeast)
1564139_at	5.57e-10	2.20e-12	-8.26	17.884139	-1.50033686	A2M-AS1	A2M antisense RNA 1 (head to head)
205119_s_at	5.74e-10	2.30e-12	8.25	17.841136	1.1181512	FPR1	formyl peptide receptor 1
218357_s_at	5.87e-10	2.38e-12	8.25	17.808905	0.52632053	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B
220864_s_at	5.87e-10	2.42e-12	8.24	17.795489	0.74890467	NDUFA13	NADH:ubiquinone oxidoreductase subunit A13
208749_x_at	6.39e-10	2.66e-12	8.22	17.701904	0.58491316	FLOT1	flotillin 1
218206_x_at	6.60e-10	2.78e-12	8.21	17.658584	0.50097364	SCAND1	SCAN domain containing 1
201227_s_at	6.67e-10	2.87e-12	8.21	17.628897	0.61899259	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8
36084_at	6.67e-10	2.88e-12	-8.21	17.625465	-0.56048572	CUL7	cullin 7
235067_at	7.28e-10	3.18e-12	-8.18	17.529859	-0.71163375	MKLN1	muskelin 1
202121_s_at	7.43e-10	3.30e-12	8.18	17.493747	0.67402782	CHMP2A	charged multivesicular body protein 2A
225971_at	7.43e-10	3.32e-12	-8.17	17.488361	-0.77815339	DDHD1	DDHD domain containing 1
222231_s_at	7.67e-10	3.46e-12	8.17	17.447128	0.6531527	LRRC59	leucine rich repeat containing 59
214438_at	8.42e-10	3.85e-12	8.14	17.342165	1.21154883	HLX	H2.0 like homeobox
201390_s_at	8.42e-10	3.88e-12	8.14	17.334839	0.61150868	CSNK2B	casein kinase 2 beta
1560703_at	9.13e-10	4.26e-12	-8.12	17.245752	-0.91099286	LYRM9	LYR motif containing 9
214834_at	9.17e-10	4.32e-12	-8.12	17.230967	-1.11605414	PWAR5	Prader Willi/Angelman region RNA 5
201448_at	9.33e-10	4.48e-12	-8.11	17.195648	-0.68264856	TIA1	TIA1 cytotoxic granule-associated RNA binding protein
230270_at	9.33e-10	4.57e-12	-8.10	17.17701	-0.83886947	PRPF38B	pre-mRNA processing factor 38B
206770_s_at	9.33e-10	4.58e-12	-8.10	17.175137	-1.01955568	SLC35A3	solute carrier family 35 member A3
205232_s_at	9.33e-10	4.59e-12	-8.10	17.17387	-0.65062961	PAFAH2	platelet activating factor acetylhydrolase 2
222603_at	1.02e-09	5.04e-12	-8.08	17.081357	-0.73190811	ERMP1	endoplasmic reticulum metallopeptidase 1
220925_at	1.04e-09	5.22e-12	-8.08	17.049028	-0.58766986	NAA35	N(alpha)-acetyltransferase 35, NatC auxiliary subunit
200820_at	1.24e-09	6.33e-12	8.03	16.86159	0.63649987	PSMD8	proteasome 26S subunit, non-ATPase 8
221899_at	1.24e-09	6.36e-12	-8.03	16.855792	-1.32288063	N4BP2L2	NEDD4 binding protein 2 like 2
231836_at	1.25e-09	6.46e-12	-8.03	16.842151	-0.74472169	HKR1	HKR1, GLI-Kruppel zinc finger family member
202979_s_at	1.27e-09	6.64e-12	-8.02	16.81534	-1.14684397	CREBZF	CREB/ATF bZIP transcription factor
210927_x_at	1.32e-09	6.96e-12	8.01	16.769736	0.64772082	JTB	jumping translocation breakpoint
201315_x_at	1.38e-09	7.35e-12	8.00	16.715954	0.87146841	IFITM2	interferon induced transmembrane protein 2
217828_at	1.51e-09	8.12e-12	-7.98	16.620205	-0.46963801	SLTM	SAFB like transcription modulator
201463_s_at	1.52e-09	8.27e-12	7.97	16.602388	0.85252317	TALDO1	transaldolase 1
202024_at	1.52e-09	8.42e-12	7.97	16.584952	0.53221708	ASNA1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)
219384_s_at	1.52e-09	8.44e-12	-7.97	16.582492	-0.70740074	ADAT1	adenosine deaminase, tRNA specific 1
212232_at	1.52e-09	8.44e-12	-7.97	16.581898	-0.49717556	FNBP4	formin binding protein 4
215019_x_at	1.63e-09	9.15e-12	-7.95	16.503885	-0.76346765	ZNF528	zinc finger protein 528
202300_at	1.64e-09	9.32e-12	7.95	16.486312	0.47734977	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5
202100_at	1.70e-09	9.74e-12	7.94	16.443644	0.68993159	RALB	RALB Ras like proto-oncogene B
223034_s_at	1.71e-09	9.87e-12	7.93	16.430336	0.58706568	C1orf43	chromosome 1 open reading frame 43
203338_at	1.71e-09	9.99e-12	-7.93	16.418842	-0.40285618	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon
204351_at	1.71e-09	1.00e-11	7.93	16.413774	3.00724677	S100P	S100 calcium binding protein P
208931_s_at	1.74e-09	1.03e-11	-7.93	16.388864	-0.81384876	ILF3	interleukin enhancer binding factor 3
1559413_at	1.80e-09	1.07e-11	-7.92	16.350027	-1.18336653	TCP11L2	t-complex 11 like 2
218563_at	1.84e-09	1.11e-11	7.91	16.318813	0.62093255	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3
218962_s_at	1.97e-09	1.20e-11	-7.89	16.244619	-0.60796472	TMEM168	transmembrane protein 168
1552287_s_at	1.97e-09	1.21e-11	-7.89	16.234442	-0.71987554	AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene
219644_at	1.98e-09	1.23e-11	-7.89	16.219471	-0.68314667	CEP83	centrosomal protein 83
227616_at	1.98e-09	1.24e-11	-7.88	16.207782	-0.9858633	BCL9L	B-cell CLL/lymphoma 9-like
213164_at	1.98e-09	1.25e-11	-7.88	16.20478	-0.88561266	SLC5A3	solute carrier family 5 member 3
200620_at	1.98e-09	1.25e-11	7.88	16.200186	0.57442722	TMEM59	transmembrane protein 59
228690_s_at	1.98e-09	1.27e-11	7.88	16.186293	0.49459032	NDUFA11	NADH:ubiquinone oxidoreductase subunit A11
202084_s_at	1.98e-09	1.27e-11	7.88	16.18364	0.716595	SEC14L1	SEC14 like lipid binding 1
201281_at	2.04e-09	1.32e-11	7.87	16.148334	0.47163147	ADRM1	adhesion regulating molecule 1
225964_at	2.17e-09	1.42e-11	-7.86	16.079911	-0.57469888	ZXDC	ZXD family zinc finger C
202768_at	2.38e-09	1.56e-11	7.83	15.985819	2.88461436	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit
209864_at	2.39e-09	1.59e-11	7.83	15.966125	1.14482781	FRAT2	frequently rearranged in advanced T-cell lymphomas 2
1557166_at	2.39e-09	1.59e-11	-7.83	15.965526	-1.32779302	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)
202971_s_at	2.42e-09	1.64e-11	-7.82	15.937711	-0.81228372	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2
229743_at	2.42e-09	1.64e-11	7.82	15.935943	0.6936283	ZNF438	zinc finger protein 438
202411_at	2.42e-09	1.65e-11	7.82	15.930103	5.1633875	IFI27	interferon alpha inducible protein 27
213906_at	2.50e-09	1.72e-11	-7.81	15.8937	-1.53788866	MYBL1	MYB proto-oncogene like 1
223566_s_at	2.51e-09	1.74e-11	-7.81	15.881388	-0.83372313	BCOR	BCL6 corepressor
232469_x_at	2.54e-09	1.79e-11	-7.80	15.85339	-0.90580502	SSBP3-AS1	SSBP3 antisense RNA 1
219594_at	2.54e-09	1.79e-11	7.80	15.852165	0.8711436	NINJ2	ninjurin 2
200999_s_at	2.54e-09	1.80e-11	7.80	15.849348	1.11363511	CKAP4	cytoskeleton associated protein 4
218456_at	2.56e-09	1.82e-11	-7.80	15.835792	-0.79707908	CAPRIN2	caprin family member 2
217918_at	2.57e-09	1.84e-11	7.80	15.825832	0.74965753	DYNLRB1	dynein light chain roadblock-type 1
1557113_at	2.61e-09	1.88e-11	-7.79	15.802997	-1.15453769	LOC283588	uncharacterized LOC283588
203729_at	2.71e-09	1.97e-11	7.78	15.761079	0.46312271	EMP3	epithelial membrane protein 3
221669_s_at	2.77e-09	2.03e-11	-7.78	15.732945	-0.59368121	ACAD8	acyl-CoA dehydrogenase family member 8
205976_at	3.18e-09	2.34e-11	-7.74	15.592914	-1.09174853	FASTKD2	FAST kinase domains 2
227101_at	3.20e-09	2.37e-11	-7.74	15.579419	-0.51513101	ZNF800	zinc finger protein 800
228282_at	3.26e-09	2.43e-11	-7.74	15.554817	-0.65187915	MFSD8	major facilitator superfamily domain containing 8
203140_at	3.58e-09	2.69e-11	7.71	15.458169	1.02926989	BCL6	B-cell CLL/lymphoma 6
212721_at	3.62e-09	2.74e-11	-7.71	15.441034	-0.46158476	SREK1	splicing regulatory glutamic acid and lysine rich protein 1
1570571_at	3.80e-09	2.90e-11	-7.70	15.386587	-1.52587903	CCDC91	coiled-coil domain containing 91
1553978_at	3.84e-09	2.95e-11	7.69	15.369171	0.42277323	BORCS8	BLOC-1 related complex subunit 8
211828_s_at	3.91e-09	3.03e-11	-7.69	15.342684	-0.75343946	TNIK	TRAF2 and NCK interacting kinase
218396_at	3.91e-09	3.04e-11	-7.69	15.34062	-0.7095527	VPS13C	vacuolar protein sorting 13 homolog C
219378_at	4.10e-09	3.21e-11	-7.67	15.287958	-0.81847864	NAA16	N(alpha)-acetyltransferase 16, NatA auxiliary subunit
202939_at	4.36e-09	3.43e-11	7.66	15.222002	0.36799971	ZMPSTE24	zinc metallopeptidase STE24
219481_at	4.50e-09	3.56e-11	-7.65	15.185134	-0.52312388	TTC13	tetratricopeptide repeat domain 13
227935_s_at	4.52e-09	3.60e-11	7.65	15.17478	0.76700083	PCGF5	polycomb group ring finger 5
1552701_a_at	4.78e-09	3.86e-11	7.63	15.108458	0.77849147	CARD16	caspase recruitment domain family member 16
202592_at	4.78e-09	3.86e-11	7.63	15.107548	0.64121094	BLOC1S1	biogenesis of lysosomal organelles complex 1 subunit 1
225852_at	4.87e-09	3.95e-11	-7.63	15.084545	-0.54360702	ANKRD17	ankyrin repeat domain 17
201105_at	4.87e-09	3.98e-11	7.63	15.07884	0.92947643	LGALS1	galectin 1
39402_at	4.94e-09	4.06e-11	7.62	15.058387	2.24773452	IL1B	interleukin 1 beta
225394_s_at	4.94e-09	4.09e-11	7.62	15.05281	0.66919389	ZCRB1	zinc finger CCHC-type and RNA binding motif containing 1
242195_x_at	5.31e-09	4.42e-11	-7.60	14.976458	-0.78874243	NUMBL	NUMB like, endocytic adaptor protein
47560_at	5.35e-09	4.48e-11	-7.60	14.964272	-0.88152221	ADGRL1	adhesion G protein-coupled receptor L1
212388_at	5.41e-09	4.56e-11	-7.60	14.947241	-0.5870089	USP24	ubiquitin specific peptidase 24
202090_s_at	5.68e-09	4.82e-11	7.58	14.89319	0.43700605	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI
225602_at	5.72e-09	4.87e-11	7.58	14.881986	0.68589275	GLIPR2	GLI pathogenesis related 2
201739_at	5.85e-09	5.02e-11	7.58	14.853786	1.47766321	SGK1	serum/glucocorticoid regulated kinase 1
202774_s_at	5.96e-09	5.14e-11	-7.57	14.830519	-0.44725148	SFSWAP	splicing factor SWAP homolog
215268_at	6.07e-09	5.27e-11	-7.56	14.806534	-1.27806596	KIAA0754	KIAA0754
1557828_a_at	6.18e-09	5.39e-11	-7.56	14.784198	-1.00272899	TMEM267	transmembrane protein 267
238701_x_at	6.28e-09	5.51e-11	-7.55	14.76262	-0.9648922	COLCA1	colorectal cancer associated 1
228174_at	6.49e-09	5.73e-11	-7.55	14.725371	-0.92913433	SCAI	suppressor of cancer cell invasion
206854_s_at	6.57e-09	5.86e-11	-7.54	14.703392	-0.4474786	MAP3K7	mitogen-activated protein kinase kinase kinase 7
201186_at	6.57e-09	5.86e-11	7.54	14.702752	0.96022057	LRPAP1	LDL receptor related protein associated protein 1
205690_s_at	6.63e-09	5.95e-11	7.54	14.68838	0.54547079	BUD31	BUD31 homolog
1559449_a_at	6.63e-09	5.98e-11	-7.54	14.683566	-1.07237702	ZNF254	zinc finger protein 254
227213_at	6.77e-09	6.15e-11	-7.53	14.656628	-0.80528803	ADAT2	adenosine deaminase, tRNA specific 2
209224_s_at	6.79e-09	6.19e-11	7.53	14.649443	0.38992501	NDUFA2	NADH:ubiquinone oxidoreductase subunit A2
222934_s_at	6.80e-09	6.25e-11	7.53	14.640773	1.47342024	CLEC4E	C-type lectin domain family 4 member E
213140_s_at	6.80e-09	6.28e-11	-7.53	14.636629	-0.5549717	SS18L1	SS18L1, nBAF chromatin remodeling complex subunit
227810_at	6.89e-09	6.39e-11	-7.52	14.619347	-0.67511346	ZNF558	zinc finger protein 558
1563483_at	6.97e-09	6.52e-11	-7.52	14.599545	-0.94242688	LINC00869	long intergenic non-protein coding RNA 869
201758_at	6.97e-09	6.53e-11	7.52	14.597571	0.51842127	TSG101	tumor susceptibility 101
225870_s_at	7.06e-09	6.65e-11	7.51	14.580206	0.58918049	TRAPPC5	trafficking protein particle complex 5
222136_x_at	7.18e-09	6.80e-11	-7.51	14.558787	-0.6406888	ZNF729///ZNF43	zinc finger protein 729///zinc finger protein 43
202941_at	7.20e-09	6.86e-11	7.51	14.551011	0.49287129	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2
224511_s_at	7.36e-09	7.05e-11	7.50	14.523772	0.69573797	TXNDC17	thioredoxin domain containing 17
206765_at	7.41e-09	7.13e-11	7.50	14.513159	1.50057108	KCNJ2	potassium voltage-gated channel subfamily J member 2
209430_at	7.44e-09	7.20e-11	-7.50	14.503561	-0.52276293	BTAF1	B-TFIID TATA-box binding protein associated factor 1
208840_s_at	7.57e-09	7.36e-11	-7.49	14.481833	-0.61534269	G3BP2	G3BP stress granule assembly factor 2
1568768_s_at	7.88e-09	7.70e-11	7.48	14.437943	2.51817794	BRE-AS1	BRE antisense RNA 1
209396_s_at	7.98e-09	7.84e-11	7.48	14.420581	3.24926154	CHI3L1	chitinase 3 like 1
228648_at	8.08e-09	7.98e-11	7.47	14.404082	1.86657138	LRG1	leucine rich alpha-2-glycoprotein 1
212501_at	8.12e-09	8.08e-11	7.47	14.392291	0.68043962	CEBPB	CCAAT/enhancer binding protein beta
241353_s_at	8.12e-09	8.10e-11	7.47	14.389293	0.7293699	LOC100507507	uncharacterized LOC100507507
203021_at	8.48e-09	8.50e-11	7.46	14.342427	2.17118377	SLPI	secretory leukocyte peptidase inhibitor
37028_at	8.52e-09	8.58e-11	7.46	14.333125	1.34703662	PPP1R15A	protein phosphatase 1 regulatory subunit 15A
223480_s_at	8.54e-09	8.65e-11	7.45	14.325633	0.56739779	MRPL47	mitochondrial ribosomal protein L47
221965_at	8.59e-09	8.76e-11	-7.45	14.313176	-0.51337432		
228613_at	8.59e-09	8.79e-11	-7.45	14.310139	-1.07322857	RAB11FIP3	RAB11 family interacting protein 3
203936_s_at	8.59e-09	8.83e-11	7.45	14.305767	2.73077007	MMP9	matrix metallopeptidase 9
208966_x_at	8.60e-09	8.88e-11	7.45	14.299794	0.66913138	IFI16	interferon gamma inducible protein 16
219397_at	8.71e-09	9.11e-11	7.44	14.275454	0.51033349	COQ10B	coenzyme Q10B
200039_s_at	8.71e-09	9.12e-11	7.44	14.274029	0.61452961	PSMB2	proteasome subunit beta 2
201500_s_at	8.71e-09	9.14e-11	7.44	14.272261	0.44772662	PPP1R11	protein phosphatase 1 regulatory inhibitor subunit 11
208909_at	8.71e-09	9.18e-11	7.44	14.268597	0.46880384	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1
216153_x_at	8.90e-09	9.41e-11	-7.44	14.243694	-1.24709976	RECK	reversion inducing cysteine rich protein with kazal motifs
242432_at	9.20e-09	9.78e-11	-7.43	14.206277	-1.94543317	LRRC37A2	leucine rich repeat containing 37 member A2
223767_at	9.22e-09	9.85e-11	7.43	14.200064	1.5218261	GPR84	G protein-coupled receptor 84
225552_x_at	9.23e-09	9.90e-11	7.42	14.194801	0.55512639	AURKAIP1	aurora kinase A interacting protein 1
207078_at	9.56e-09	1.03e-10	-7.42	14.155519	-1.40736169	MED6	mediator complex subunit 6
212074_at	9.58e-09	1.04e-10	-7.41	14.149239	-0.7574702	SUN1	Sad1 and UNC84 domain containing 1
204007_at	9.71e-09	1.06e-10	7.41	14.131692	1.95937298	FCGR3B	Fc fragment of IgG receptor IIIb
201785_at	9.72e-09	1.07e-10	7.41	14.12114	2.59103172	RNASE1	ribonuclease A family member 1, pancreatic
208959_s_at	9.72e-09	1.07e-10	7.41	14.115174	0.66270564	ERP44	endoplasmic reticulum protein 44
1557293_at	9.72e-09	1.08e-10	-7.41	14.113565	-1.26800834	LINC00969	long intergenic non-protein coding RNA 969
209124_at	9.72e-09	1.08e-10	7.41	14.108895	0.56986926	MYD88	myeloid differentiation primary response 88
211609_x_at	9.72e-09	1.08e-10	7.41	14.108394	0.52458081	PSMD4	proteasome 26S subunit, non-ATPase 4
201483_s_at	9.77e-09	1.10e-10	7.40	14.095912	0.62716008	SUPT4H1	SPT4 homolog, DSIF elongation factor subunit
1569940_at	9.77e-09	1.10e-10	-7.40	14.095469	-0.90946357	SLC6A16	solute carrier family 6 member 16
202671_s_at	9.98e-09	1.13e-10	7.40	14.070342	0.85457838	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase
204175_at	1.02e-08	1.15e-10	7.39	14.048159	1.07861025	ZNF593	zinc finger protein 593
225824_at	1.04e-08	1.19e-10	7.38	14.0162	0.55393773	CCNK	cyclin K
219158_s_at	1.04e-08	1.19e-10	-7.38	14.014036	-0.49944029	NAA15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit
1554250_s_at	1.05e-08	1.20e-10	-7.38	14.008129	-0.94226578	STAG3L2///STAG3L3///TRIM73	stromal antigen 3-like 2 (pseudogene)///stromal antigen 3-like 3 (pseudogene)///tripartite motif containing 73
209762_x_at	1.05e-08	1.21e-10	7.38	13.997985	0.87423066	SP110	SP110 nuclear body protein
225461_at	1.09e-08	1.26e-10	-7.37	13.96321	-0.66765963	EHMT1	euchromatic histone lysine methyltransferase 1
213708_s_at	1.09e-08	1.27e-10	7.37	13.951475	0.66319972	MLX	MLX, MAX dimerization protein
212552_at	1.10e-08	1.29e-10	7.37	13.941398	0.52030693	HPCAL1	hippocalcin like 1
200085_s_at	1.10e-08	1.29e-10	7.37	13.936426	0.67109185	TCEB2	transcription elongation factor B subunit 2
1555981_at	1.12e-08	1.32e-10	-7.36	13.915239	-0.5351329	ASB16-AS1	ASB16 antisense RNA 1
218218_at	1.16e-08	1.37e-10	-7.35	13.878125	-0.67393705	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2
203974_at	1.19e-08	1.41e-10	7.35	13.849589	0.82224578	PUDP	pseudouridine 5'-phosphatase
238819_at	1.21e-08	1.45e-10	-7.34	13.827191	-0.80234586	ZNF347	zinc finger protein 347
1553349_at	1.26e-08	1.51e-10	-7.33	13.782929	-1.10963739	ARID2	AT-rich interaction domain 2
202491_s_at	1.26e-08	1.52e-10	-7.33	13.781727	-0.53145614	IKBKAP	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein
226318_at	1.28e-08	1.55e-10	-7.33	13.761915	-0.63653412	TBRG1	transforming growth factor beta regulator 1
